Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,680.250000,698.500000,679.000000,696.349976,694.582825,8550860
2022-01-04,701.000000,711.049988,700.049988,709.150024,707.350403,9705906
2022-01-05,711.900024,730.900024,707.750000,726.900024,725.055359,11312955
2022-01-06,719.950012,733.500000,719.000000,730.299988,728.446716,7955578
2022-01-07,734.000000,740.900024,725.250000,730.599976,728.745911,10454143
2022-01-10,733.650024,744.000000,733.200012,742.799988,740.914978,9595787
2022-01-11,742.900024,747.049988,737.299988,743.250000,741.363831,7252279
2022-01-12,749.650024,751.450012,743.150024,746.849976,744.954651,5294563
2022-01-13,749.000000,749.000000,737.049988,740.700012,738.820374,5196538
2022-01-14,734.799988,735.950012,716.049988,721.700012,719.868530,16302342
2022-01-17,719.000000,720.599976,709.500000,712.650024,710.841492,19680557
2022-01-18,717.500000,735.900024,714.250000,725.200012,723.359680,24055886
2022-01-19,725.200012,731.950012,718.700012,729.599976,727.748474,7746270
2022-01-20,731.049988,737.150024,722.150024,728.900024,727.050232,8505400
2022-01-21,722.000000,725.250000,708.049988,712.500000,710.691895,10689060
2022-01-24,715.000000,716.400024,688.200012,704.599976,702.811890,8812501
2022-01-25,714.000000,755.000000,708.599976,752.200012,750.291138,38088158
2022-01-27,744.000000,777.000000,738.099976,773.849976,771.886169,34927774
2022-01-28,778.099976,784.700012,761.500000,764.700012,762.759399,17765524
2022-01-31,775.450012,777.799988,762.349976,773.049988,771.088196,12319200
2022-02-01,778.099976,793.900024,769.099976,781.900024,779.915771,15457534
2022-02-02,790.000000,805.900024,787.349976,804.099976,802.059387,13478899
2022-02-03,802.200012,811.900024,793.049988,799.549988,797.520935,10802708
2022-02-04,796.950012,804.500000,791.150024,798.549988,796.523499,10776387
2022-02-07,802.500000,803.599976,784.099976,789.599976,787.596191,10939179
2022-02-08,794.000000,801.000000,776.150024,798.549988,796.523499,12300670
2022-02-09,801.000000,809.500000,800.150024,803.849976,801.809998,9399830
2022-02-10,807.549988,815.950012,803.099976,809.799988,807.744934,12848281
2022-02-11,800.950012,809.900024,798.500000,803.799988,801.760132,9717894
2022-02-14,790.000000,803.000000,769.950012,773.349976,771.387451,8617389
2022-02-15,777.000000,799.099976,764.299988,796.950012,794.927551,7426563
2022-02-16,795.000000,808.299988,789.299988,797.049988,795.027283,7457765
2022-02-17,797.000000,802.000000,780.500000,782.799988,780.813416,6516308
2022-02-18,781.150024,790.549988,779.000000,787.400024,785.401855,5466662
2022-02-21,783.549988,796.799988,776.099976,788.849976,786.848145,5635224
2022-02-22,766.099976,787.000000,766.099976,779.150024,777.172729,6923558
2022-02-23,783.500000,785.500000,772.250000,777.200012,775.227722,6303173
2022-02-24,752.400024,769.150024,725.299988,730.299988,728.446716,13085009
2022-02-25,742.299988,764.849976,737.400024,758.049988,756.126282,10066136
2022-02-28,749.900024,749.900024,736.200012,742.400024,740.515991,14463418
2022-03-02,728.700012,756.450012,725.000000,750.250000,748.346069,11691602
2022-03-03,756.000000,759.450012,732.400024,737.650024,735.778076,8357181
2022-03-04,723.000000,732.500000,710.049988,715.000000,713.185547,11660648
2022-03-07,693.000000,705.000000,655.599976,667.549988,665.855896,20147061
2022-03-08,665.000000,673.750000,637.000000,670.400024,668.698730,24828458
2022-03-09,671.500000,680.500000,659.099976,674.200012,672.489075,20438651
2022-03-10,707.900024,720.400024,688.250000,694.950012,693.186401,23224756
2022-03-11,691.900024,706.650024,687.450012,690.849976,689.096802,14224356
2022-03-14,694.700012,712.400024,685.000000,710.049988,708.248108,10720884
2022-03-15,713.000000,718.000000,695.000000,698.150024,696.378296,12157425
2022-03-16,711.000000,726.000000,709.099976,723.849976,722.013062,10038170
2022-03-17,737.000000,746.750000,736.450012,739.250000,737.374023,13657428
2022-03-21,745.000000,749.400024,723.700012,725.900024,724.057861,7495685
2022-03-22,729.000000,736.000000,706.349976,731.400024,729.543945,11117081
2022-03-23,736.099976,742.900024,724.650024,726.750000,724.905701,5886245
2022-03-24,719.099976,730.450012,719.000000,722.250000,720.417114,7559843
2022-03-25,723.299988,726.650024,715.500000,721.250000,719.419678,5430894
2022-03-28,726.000000,737.900024,715.049988,736.000000,734.132263,7077669
2022-03-29,741.650024,741.650024,731.000000,737.799988,735.927673,6174137
2022-03-30,747.000000,765.849976,741.299988,750.450012,748.545593,16618114
2022-03-31,763.000000,763.000000,751.299988,761.150024,759.218384,20449544
2022-04-01,760.000000,775.750000,755.150024,774.549988,772.584412,9321859
2022-04-04,780.000000,785.500000,767.000000,784.099976,782.110168,10959783
2022-04-05,776.000000,796.000000,776.000000,783.099976,781.112671,7334134
2022-04-06,777.000000,779.950012,769.200012,773.700012,771.736572,9954921
2022-04-07,769.500000,795.000000,769.200012,792.099976,790.089844,9820244
2022-04-08,794.900024,800.700012,789.000000,794.900024,792.882813,8104237
2022-04-11,789.450012,794.250000,784.049988,786.049988,784.055176,6340427
2022-04-12,780.099976,801.000000,777.799988,798.450012,796.423767,7672215
2022-04-13,805.799988,805.799988,790.849976,793.049988,791.037415,7640132
2022-04-18,780.000000,801.650024,776.000000,798.849976,796.822754,11478317
2022-04-19,805.000000,816.200012,785.549988,797.799988,795.775391,8711816
2022-04-20,800.849976,802.450012,788.599976,794.700012,792.683289,6676491
2022-04-21,795.099976,804.000000,790.549988,801.799988,799.765259,6851615
2022-04-22,796.000000,798.000000,778.200012,780.599976,778.619019,6255027
2022-04-25,772.000000,788.799988,761.250000,780.700012,778.718811,8023525
2022-04-26,791.000000,796.599976,769.000000,775.000000,773.033264,11087204
2022-04-27,765.599976,772.950012,749.000000,765.900024,763.956360,11485697
2022-04-28,776.900024,785.450012,766.349976,779.799988,777.821045,11037317
2022-04-29,765.000000,766.849976,725.000000,728.599976,726.750977,34401710
2022-05-02,722.000000,738.200012,718.500000,727.349976,725.504150,16136040
2022-05-04,733.000000,735.150024,704.000000,707.200012,705.405334,14548684
2022-05-05,716.000000,721.799988,698.900024,702.349976,700.567627,12726146
2022-05-06,690.000000,692.500000,668.099976,673.400024,671.691101,15511195
2022-05-09,660.200012,669.000000,648.799988,663.700012,662.015747,13999329
2022-05-10,663.700012,672.099976,657.549988,659.750000,658.075745,9523698
2022-05-11,661.700012,676.000000,655.450012,672.349976,670.643738,9352398
2022-05-12,667.000000,667.000000,644.000000,649.650024,648.001404,11166084
2022-05-13,656.400024,659.400024,633.400024,635.950012,634.336121,9618627
2022-05-16,639.849976,649.200012,630.049988,638.950012,637.328491,6159695
2022-05-17,642.900024,657.500000,641.150024,654.950012,653.287964,8152237
2022-05-18,654.750000,670.400024,650.299988,659.450012,657.776550,13013873
2022-05-19,643.299988,657.750000,641.200012,650.200012,648.549988,9216948
2022-05-20,659.750000,675.750000,658.000000,673.099976,671.391846,9708672
2022-05-23,673.000000,684.799988,668.549988,675.349976,673.636108,7919353
2022-05-24,669.700012,681.450012,661.200012,664.049988,662.364807,8088546
2022-05-25,668.000000,672.650024,660.049988,665.000000,663.312439,5169619
2022-05-26,672.950012,685.250000,668.000000,683.250000,681.516113,10114633
2022-05-27,689.000000,693.799988,684.250000,688.299988,686.553223,5539060
2022-05-30,695.099976,698.000000,690.099976,693.650024,691.889709,3818060
2022-05-31,689.000000,696.000000,683.049988,685.200012,683.461182,10410424
2022-06-01,683.000000,692.450012,680.500000,686.049988,684.308960,6966674
2022-06-02,682.000000,693.150024,682.000000,691.549988,689.794983,6347433
2022-06-03,697.299988,698.000000,673.150024,677.299988,675.581177,8475726
2022-06-06,677.000000,684.000000,670.299988,672.200012,670.494141,6756864
2022-06-07,672.200012,678.000000,661.099976,665.849976,664.160217,8312778
2022-06-08,670.000000,673.549988,655.450012,658.599976,656.928650,9282494
2022-06-09,656.950012,662.750000,650.000000,661.299988,659.621826,5682743
2022-06-10,655.500000,663.700012,652.200012,660.700012,659.023376,6758832
2022-06-13,646.950012,652.000000,640.099976,648.950012,647.303162,6135431
2022-06-14,645.000000,655.700012,643.099976,650.750000,649.098572,5391833
2022-06-15,654.000000,656.349976,647.200012,650.500000,648.849243,4638336
2022-06-16,657.500000,658.200012,631.049988,634.900024,633.288818,5960283
2022-06-17,630.000000,640.799988,626.599976,635.200012,633.588074,6849201
2022-06-20,635.250000,637.150024,622.200012,628.299988,626.705505,5305222
2022-06-21,632.000000,645.349976,628.150024,636.500000,634.884705,10333886
2022-06-22,632.549988,633.650024,621.250000,626.799988,625.209351,5899024
2022-06-23,627.400024,640.849976,618.250000,629.349976,627.752808,8450777
