Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,462.000000,472.000000,460.100006,470.799988,447.229095,13124509
2022-01-04,472.500000,484.700012,471.049988,483.500000,459.293304,23296671
2022-01-05,481.899994,495.000000,479.149994,492.399994,467.747711,24694169
2022-01-06,487.700012,494.399994,485.399994,491.700012,467.082764,18190843
2022-01-07,493.450012,501.950012,489.450012,491.250000,466.655273,22746330
2022-01-10,493.350006,504.950012,492.500000,503.649994,478.434479,15832274
2022-01-11,503.000000,507.799988,499.250000,505.950012,480.619324,16107950
2022-01-12,509.899994,513.500000,508.500000,510.250000,484.704041,14489616
2022-01-13,510.000000,512.849976,507.000000,511.350006,485.748962,10450974
2022-01-14,509.000000,510.350006,505.149994,508.350006,482.899200,8724574
2022-01-17,508.000000,518.900024,507.549988,514.000000,488.266296,17422211
2022-01-18,514.000000,517.450012,505.000000,506.799988,481.426727,12592506
2022-01-19,505.000000,517.650024,500.299988,515.799988,489.976135,16079457
2022-01-20,516.000000,519.150024,508.000000,511.399994,485.796448,17724642
2022-01-21,505.299988,507.500000,498.000000,502.700012,477.532043,16947941
2022-01-24,502.399994,506.799988,488.000000,494.149994,469.410095,20233933
2022-01-25,490.000000,517.500000,489.000000,514.650024,488.883789,21791739
2022-01-27,503.549988,530.849976,503.200012,528.950012,502.467834,35409230
2022-01-28,534.000000,536.400024,521.400024,523.450012,497.243195,24715250
2022-01-31,529.000000,540.900024,527.049988,538.299988,511.349670,28674232
2022-02-01,543.950012,543.950012,520.000000,532.299988,505.650085,32245356
2022-02-02,536.650024,544.250000,531.349976,539.799988,512.774597,21661864
2022-02-03,537.150024,544.700012,537.150024,540.099976,513.059570,22717677
2022-02-04,542.150024,546.400024,527.299988,530.299988,503.750214,25332894
2022-02-07,531.900024,549.000000,525.250000,533.250000,506.552521,52289545
2022-02-08,535.500000,537.650024,519.000000,531.349976,504.747620,26567546
2022-02-09,534.950012,536.500000,527.750000,535.250000,508.452362,14856155
2022-02-10,537.099976,543.950012,534.400024,540.549988,513.487061,18659370
2022-02-11,536.250000,537.700012,527.099976,529.599976,503.085236,14607095
2022-02-14,515.000000,515.599976,499.700012,501.399994,476.297119,26153332
2022-02-15,502.000000,526.849976,497.100006,524.799988,498.525543,23842951
2022-02-16,526.500000,528.000000,514.000000,516.700012,490.831116,19773807
2022-02-17,520.000000,520.000000,511.149994,512.950012,487.268890,16408356
2022-02-18,510.100006,520.900024,510.100006,515.299988,489.501221,15111223
2022-02-21,511.549988,517.500000,504.649994,511.850006,486.223938,16866932
2022-02-22,500.899994,505.299988,495.500000,498.399994,473.447296,27108772
2022-02-23,503.000000,505.350006,497.250000,498.700012,473.732300,13899433
2022-02-24,480.000000,487.950012,468.000000,472.649994,448.986511,32356037
2022-02-25,480.000000,491.899994,479.299988,482.950012,458.770844,21792287
2022-02-28,476.899994,485.299988,473.100006,483.200012,459.008331,18069367
2022-03-02,478.000000,479.799988,467.000000,474.250000,450.506378,22003848
2022-03-03,480.000000,483.399994,464.600006,467.399994,443.999359,20358590
2022-03-04,460.299988,470.899994,457.649994,461.950012,438.822205,20684268
2022-03-07,447.500000,453.950012,433.450012,440.299988,418.256104,33720472
2022-03-08,438.000000,442.100006,425.000000,440.299988,418.256104,42510207
2022-03-09,442.000000,454.299988,438.549988,451.700012,429.085388,32331325
2022-03-10,469.899994,476.649994,461.649994,468.700012,445.234253,34553299
2022-03-11,466.399994,474.799988,462.000000,470.350006,446.801666,22091309
2022-03-14,471.000000,486.000000,470.549988,485.149994,460.860687,27750689
2022-03-15,489.000000,490.500000,480.649994,485.850006,461.525665,27204899
2022-03-16,493.000000,494.299988,489.399994,492.750000,468.080200,16211288
2022-03-17,499.000000,503.500000,498.299988,501.899994,476.772095,22947673
2022-03-21,502.000000,502.000000,489.000000,490.600006,466.037842,19064060
2022-03-22,490.600006,495.799988,477.250000,493.700012,468.982605,26157969
2022-03-23,498.500000,502.399994,489.200012,490.649994,466.085327,15800195
2022-03-24,485.000000,494.799988,483.500000,487.100006,462.713074,18174877
2022-03-25,491.750000,493.299988,486.600006,490.700012,466.132813,11541196
2022-03-28,490.950012,498.600006,481.950012,497.500000,472.592377,16738684
2022-03-29,500.000000,501.399994,491.700012,495.000000,470.217560,14301429
2022-03-30,499.299988,500.399994,492.299988,494.299988,469.552551,16461225
2022-03-31,494.299988,497.549988,492.200012,493.549988,468.840118,10240982
2022-04-01,491.000000,509.750000,491.000000,508.200012,482.756683,18527226
2022-04-04,509.299988,514.900024,506.000000,512.400024,486.746429,16257176
2022-04-05,514.400024,516.400024,507.700012,509.399994,483.896606,13602384
2022-04-06,507.000000,515.200012,506.000000,513.950012,488.218781,13738275
2022-04-07,510.049988,519.900024,510.049988,514.950012,489.168732,19620958
2022-04-08,519.500000,519.500000,512.349976,516.099976,490.261139,13572638
2022-04-11,513.500000,522.000000,513.200012,514.900024,489.121277,12370288
2022-04-12,512.750000,516.700012,504.350006,512.849976,487.173859,14460680
2022-04-13,514.299988,520.900024,513.750000,517.700012,491.781036,15440525
2022-04-18,512.000000,515.000000,504.000000,509.500000,483.991577,14492183
2022-04-19,513.250000,520.950012,505.100006,511.799988,486.176422,20362934
2022-04-20,512.000000,513.700012,507.000000,509.299988,483.801575,11881305
2022-04-21,513.400024,518.000000,512.200012,516.299988,490.451141,10035638
2022-04-22,512.900024,513.500000,499.000000,500.600006,475.537170,16760456
2022-04-25,495.000000,499.200012,490.049988,494.750000,469.980072,14057444
2022-04-26,499.000000,507.899994,498.450012,505.500000,480.191864,12137213
2022-04-27,500.000000,502.799988,491.850006,497.250000,472.354889,12367342
2022-04-28,499.149994,510.000000,496.500000,507.500000,482.091705,12154792
2022-04-29,508.100006,512.500000,494.000000,496.299988,471.452454,12894773
2022-05-02,492.649994,495.000000,481.299988,491.000000,466.417786,18590895
2022-05-04,492.000000,496.450012,477.500000,479.649994,455.636017,14645323
2022-05-05,485.000000,494.000000,478.649994,480.000000,455.968506,14130385
2022-05-06,471.000000,486.100006,471.000000,483.950012,459.720764,16710020
2022-05-09,477.100006,483.700012,473.799988,475.899994,452.073761,13544947
2022-05-10,477.000000,482.549988,473.500000,475.200012,451.408844,10884328
2022-05-11,475.250000,479.000000,463.649994,476.549988,452.691223,14771351
2022-05-12,473.000000,473.000000,456.350006,462.649994,439.487152,18947096
2022-05-13,469.450012,477.000000,439.750000,444.649994,422.388336,61403008
2022-05-16,445.000000,461.500000,438.850006,455.000000,432.220123,27940958
2022-05-17,458.299988,469.649994,456.149994,467.299988,443.904327,16880698
2022-05-18,467.899994,468.600006,457.100006,458.000000,435.069977,15644497
2022-05-19,449.049988,450.000000,444.450012,447.500000,425.095673,14201420
2022-05-20,454.850006,464.000000,454.149994,462.399994,439.249664,13596860
2022-05-23,463.100006,471.399994,459.500000,460.899994,437.824768,13499415
2022-05-24,462.399994,466.799988,460.200012,462.049988,438.917175,17175179
2022-05-25,461.000000,464.450012,452.049988,454.100006,438.097168,12728644
2022-05-26,456.850006,470.100006,452.500000,468.899994,452.375580,17055257
2022-05-27,471.399994,475.000000,467.500000,468.950012,452.423828,10977001
2022-05-30,473.000000,476.899994,471.100006,474.600006,457.874725,9365470
2022-05-31,474.000000,476.399994,465.000000,468.100006,451.603790,15441579
2022-06-01,468.000000,472.000000,464.700012,468.299988,451.796722,9424008
2022-06-02,466.899994,472.350006,466.149994,469.850006,453.292114,9370989
2022-06-03,473.250000,475.500000,463.500000,464.500000,448.130646,11306291
2022-06-06,464.200012,465.600006,456.500000,463.700012,447.358887,10661432
2022-06-07,461.850006,465.950012,460.500000,463.399994,447.069427,7672515
2022-06-08,466.600006,475.549988,463.200012,471.299988,454.691010,17168871
2022-06-09,468.950012,470.899994,462.450012,466.950012,450.494324,12635601
2022-06-10,462.000000,464.149994,458.600006,461.850006,445.574036,8621104
2022-06-13,454.000000,454.049988,442.100006,445.850006,430.137878,13426836
2022-06-14,445.000000,449.250000,443.350006,448.100006,432.308594,11351101
2022-06-15,448.950012,455.450012,448.600006,451.350006,435.444061,9920926
2022-06-16,455.149994,457.750000,440.149994,441.600006,426.037659,10780703
2022-06-17,440.000000,447.549988,437.250000,441.000000,425.458832,14326050
2022-06-20,441.500000,443.450012,430.700012,434.700012,419.380829,12368534
2022-06-21,439.500000,454.950012,437.600006,450.750000,434.865204,13801891
2022-06-22,448.750000,451.200012,444.649994,447.649994,431.874451,11066447
2022-06-23,449.000000,456.450012,446.000000,451.399994,435.492310,12229833
2022-06-24,455.799988,460.350006,453.200012,454.250000,438.241882,10833364
2022-06-27,459.950012,464.850006,458.049988,461.200012,444.946960,9509175
2022-06-28,458.899994,465.750000,458.000000,464.250000,447.889465,13261290
2022-06-29,460.000000,462.700012,458.000000,459.100006,442.920959,11800876
2022-06-30,459.000000,469.299988,458.600006,465.899994,449.481323,16926328
2022-07-01,463.350006,468.799988,460.549988,466.850006,450.397827,9405495
2022-07-04,466.850006,474.149994,466.850006,473.450012,456.765259,9186358
2022-07-05,475.149994,480.000000,471.000000,472.149994,455.511047,12003244
2022-07-06,475.149994,481.000000,473.899994,479.950012,463.036194,12059857
2022-07-07,484.000000,488.250000,481.600006,486.750000,469.596527,11497832
2022-07-08,489.000000,489.899994,485.149994,488.549988,471.333099,9057231
2022-07-11,485.000000,491.299988,485.000000,488.200012,470.995483,7704792
2022-07-12,485.000000,491.350006,483.100006,484.950012,467.859985,7364457
2022-07-13,487.750000,492.450012,484.549988,486.500000,469.355347,8208853
2022-07-14,486.600006,488.899994,476.799988,479.350006,462.457336,9385630
2022-07-15,482.549988,484.399994,474.700012,479.100006,462.216156,6945602
2022-07-18,484.549988,491.500000,482.100006,490.299988,473.021423,9934786
2022-07-19,488.000000,498.549988,488.000000,497.950012,480.401855,11724183
2022-07-20,501.000000,510.600006,500.399994,508.600006,490.676544,19280117
2022-07-21,509.799988,513.400024,506.750000,512.049988,494.004944,13814893
2022-07-22,513.450012,520.200012,511.200012,513.700012,495.596802,14699129
2022-07-25,513.400024,519.000000,509.149994,517.799988,499.552307,10229778
2022-07-26,517.700012,520.799988,513.099976,514.200012,496.079193,8862656
2022-07-27,515.299988,529.950012,512.250000,528.200012,509.585815,15101546
2022-07-28,533.200012,537.500000,529.549988,532.450012,513.686035,12160734
2022-07-29,535.049988,537.000000,526.750000,528.349976,509.730499,11921058
2022-08-01,529.049988,535.000000,526.400024,533.750000,514.940247,8295631
2022-08-02,531.900024,544.900024,531.099976,542.099976,522.995911,16845027
2022-08-03,541.900024,546.400024,534.650024,540.849976,521.789978,24262125
2022-08-04,543.650024,544.000000,524.200012,533.250000,514.457886,18072293
2022-08-05,535.549988,542.900024,529.000000,531.049988,512.335327,21110734
2022-08-08,524.000000,524.000000,513.849976,520.400024,502.060699,32566317
2022-08-10,521.549988,523.500000,513.400024,514.700012,496.561584,16904151
2022-08-11,520.000000,526.000000,517.200012,524.750000,506.257416,13862195
2022-08-12,525.700012,531.799988,525.150024,530.700012,511.997742,12154012
2022-08-16,533.299988,533.849976,525.000000,525.950012,507.415100,10721167
2022-08-17,528.849976,530.549988,524.349976,528.150024,509.537598,12054183
2022-08-18,526.849976,534.799988,526.200012,532.349976,513.589539,9013662
2022-08-19,532.000000,533.650024,518.500000,520.349976,502.012421,11087222
2022-08-22,519.000000,519.900024,510.000000,511.299988,493.281372,9676954
2022-08-23,508.250000,524.000000,508.250000,521.900024,503.507874,8597965
2022-08-24,519.000000,523.000000,512.299988,519.299988,500.999451,11930650
2022-08-25,521.950012,528.299988,518.500000,520.400024,502.060699,15473450
2022-08-26,523.799988,529.500000,522.200012,523.799988,505.340851,12855886
2022-08-29,511.299988,517.000000,508.750000,514.849976,496.706268,9421339
2022-08-30,518.200012,532.500000,517.950012,531.250000,512.528320,14835308
2022-09-01,522.250000,540.900024,522.250000,533.299988,514.506042,16670228
2022-09-02,537.000000,537.849976,531.250000,536.700012,517.786255,10017930
2022-09-05,537.000000,540.799988,536.299988,538.900024,519.908752,7819994
2022-09-06,538.000000,542.700012,534.099976,537.799988,518.847473,8657868
2022-09-07,534.400024,537.450012,531.549988,532.849976,514.071899,8445359
2022-09-08,536.000000,546.299988,535.500000,544.650024,525.456116,12240707
2022-09-09,549.650024,557.000000,548.000000,553.349976,533.849487,18587927
2022-09-12,554.900024,558.599976,551.250000,554.900024,535.344910,9677415
